KEY,SPEAKER,SENTENCE,SHOW,SARCASM,SENTIMENT_IMPLICIT,SENTIMENT_EXPLICIT,EMOTION_IMPLICIT,EMOTION_EXPLICIT
2_530,PERSON,I've been talking to you for five minutes now about killing myself and no one's even looked up from their desk. Hang-hang on. Hey everybody!,FRIENDS,False,-1,-1,4,4
2_530,PERSON,"Uh, I'm gonna kill myself!",FRIENDS,False,-1,-1,4,4
,,,,,,,,
2_531,RACHEL,"Yeah, I mean I was up sick all night.",FRIENDS,False,-1,-1,4,4
2_531,JOEY,"Yeah me too, all night. Really?!",FRIENDS,False,-1,-1,4,4
2_531,RACHEL,How come we didn't cross paths?,FRIENDS,False,1,1,5,5
2_531,JOEY,"Yeah well that's because uh .. I stayed in my room. Yeah, you don't want to look in my hamper.",FRIENDS,False,-1,-1,4,4
,,,,,,,,
2_532,CHANDLER,"Rach rach, we gotta settle",FRIENDS,True,0,0,8,8
2_532,RACHEL,Settle what?,FRIENDS,True,0,0,5,5
2_532,CHANDLER,"The Jamestown colony of Virginia. You see King George is giving us the land, so.",FRIENDS,True,1,1,7,7
,,,,,,,,
2_534,ROSS,When did I say you were boring?!,FRIENDS,False,-1,-1,8,8
2_534,PHOEBE,"Oh my God, I remember now! We were playing chess!",FRIENDS,False,1,1,2,2
2_534,ROSS,Phoebe! You and I have,FRIENDS,False,-1,-1,8,8
2_534,PHOEBE,"Oh, come on!",FRIENDS,False,1,1,2,2
,,,,,,,,
2_535,PERSON,spring vacation.,FRIENDS,False,1,1,7,7
2_535,ROSS,spring vacation.,FRIENDS,False,1,1,7,7
2_535,PERSON,Oh good.,FRIENDS,False,1,1,7,7
2_535,ROSS,"Look, I ..   Look, I'm having a great time with you and I just don't want us to move to fast or put to much pressure on us.",FRIENDS,False,1,1,8,8
2_535,ROSS,"So, I'm sorry I just don't think we should go away together yet.",FRIENDS,False,1,1,8,8
,,,,,,,,
2_536,ROSS,"I mean, you two are-are my… I mean, I'm lucky to have just one good",FRIENDS,False,-1,-1,4,4
2_536,CHANDLER,Thanks man.,FRIENDS,False,-1,-1,4,4
2_536,JOEY,I gotta go check something over here.,FRIENDS,False,-1,-1,4,4
2_536,CHANDLER,What a baby.,FRIENDS,False,-1,-1,9,9
,,,,,,,,
2_537,PHOEBE,"Come on, no peeking!",FRIENDS,False,1,1,2,2
2_537,CHANDLER,Our eyes are closed and we're about to cross the street. Very good.,FRIENDS,False,-1,1,8,8
2_537,PHOEBE,"Okayyyyy, open up!",FRIENDS,False,1,1,2,2
2_537,ROSS,What did you want to show us? Because all I can see is this bitchin van,FRIENDS,False,1,1,2,2
,,,,,,,,
2_54,RACHEL,Yes! And he said really mean things that were only partly true.,FRIENDS,True,-1,-1,4,4
2_54,JOEY,I'm gonna go down there and teach that guy a lesson.,FRIENDS,True,-1,-1,1,1
2_54,MONICA,"Joey, please don't do that. I think it's best that we just forget about it.",FRIENDS,True,-1,-1,4,4
2_54,RACHEL,"That's easy for you to say, you weren't almost just killed.",FRIENDS,True,-1,-1,1,1
,,,,,,,,
2_540,JOEY,"I don't know. But hey, I know we can decide. Okay, I'm gonna ask you questions and you answer real quick.",FRIENDS,False,0,0,8,8
2_540,JOEY,Okay?,FRIENDS,False,0,0,8,8
,,,,,,,,
2_541,MONICA,Go over to her. She's not with anyone.,FRIENDS,True,0,0,8,8
2_541,CHANDLER,Oh yeah right. And what would my opening line be? Excuse me,FRIENDS,True,0,0,8,8
,,,,,,,,
2_542,JOEY,"Well, I'm just,if the paste matches the pants, you can make yourself a pair of paste pants and she won't know the difference!",FRIENDS,True,1,1,7,7
2_542,RACHEL,"Joey, do you have a minute?",FRIENDS,True,1,1,7,7
2_542,ROSS,"Dude, what am I gonna",FRIENDS,True,-1,-1,8,8
2_542,JOEY,"Uh, Rachel's here, so good luck man, let me know how it works out.",FRIENDS,True,1,1,7,7
,,,,,,,,
2_546,MONICA,Hey,FRIENDS,True,1,1,7,7
2_546,CHANDLER,"Hey, where's the birthday girl?",FRIENDS,True,1,1,7,7
2_546,RACHEL,Oh she is still napping.,FRIENDS,True,1,1,7,7
2_546,CHANDLER,"Oh sure, she was probably up all night excited about the party she knows is happening.",FRIENDS,True,1,1,7,7
,,,,,,,,
2_547,JOEY,"Well, what did you have?",FRIENDS,False,0,0,8,8
2_547,CHANDLER,It doesn't matter because nothing beats a three and a six. That my friend is D-Cup.,FRIENDS,False,1,1,7,7
2_547,CHANDLER,"Okay, now much have you won so far?",FRIENDS,False,0,0,8,8
,,,,,,,,
2_548,RACHEL,"All right, I'm outta here!",FRIENDS,True,-1,-1,3,3
2_548,MONICA,I'm kidding! I'm kidding!,FRIENDS,True,-1,-1,8,8
2_548,RACHEL,So were done then!,FRIENDS,True,-1,-1,3,7
2_548,PERSON,"Almost! But first, we gotta start.",FRIENDS,True,1,1,7,7
,,,,,,,,
2_549,MONICA,Honey the Miami vice sound track?,FRIENDS,False,-1,0,8,8
2_549,MONICA,Really?,FRIENDS,False,-1,0,8,8
,,,,,,,,
2_55,RACHEL,I'm really glad Monica asked us out.,FRIENDS,False,1,1,7,7
2_55,PERSON,"I'd love to ask you in, but uh, my sister's visiting and I think she's asleep on the couch.",FRIENDS,False,1,1,7,7
2_55,RACHEL,You're sister? You're sister's asleep on the couch? Ohhh! I saw,FRIENDS,False,1,1,7,7
2_55,PERSON,"Oh hey, great, you're up. Rachel, this is my sister Krista. Krista, this is Rachel.",FRIENDS,False,1,1,7,7
,,,,,,,,
2_550,CHANDLER,"I will have one. Okay, I'm not gonna have one.",FRIENDS,True,0,0,8,8
2_550,PHOEBE,"No, no, it's just my tooth.",FRIENDS,True,-1,-1,4,4
2_550,CHANDLER,All right I'll have one.,FRIENDS,True,0,0,8,8
,,,,,,,,
2_552,RACHEL,I don't like sitting up here! I'm just gonna over,FRIENDS,False,-1,-1,1,1
2_552,PHOEBE,No Rachel! They got here first! Why is Ross doing that?,FRIENDS,False,1,1,5,5
2_552,ROSS,DANGER,FRIENDS,False,1,1,8,8
,,,,,,,,
2_553,MONICA,"Well Joey, we're all .. we're all very proud of you.",FRIENDS,False,1,1,7,7
2_553,CHANDLER,"Yes, I believe we can expect a call from the President any moment now.",FRIENDS,False,-1,1,8,8
2_553,PHOEBE,Is there anything we can do for you?,FRIENDS,False,0,0,8,8
2_553,JOEY,"No just, nobody press on my stomach.",FRIENDS,False,-1,-1,4,4
,,,,,,,,
2_555,ROSS,No! You let go! How come it's always us left in the field holding the ball?,FRIENDS,False,-1,-1,8,8
2_555,MONICA,I don't know. I guess the other people just don't care enough.,FRIENDS,False,-1,-1,4,4
2_555,ROSS,Hey! It's starting to snow.,FRIENDS,False,1,1,7,7
,,,,,,,,
2_556,PERSON,"When their pets pass on, they want them sort of laid out like they are sleeping. But, occassionally theres a person who wants them in a pose like chasing their tail or uh, jumping to catch a frizbee.",FRIENDS,True,0,0,8,8
2_556,CHANDLER,"Joey if I go first, I want to be looking for my keys",FRIENDS,True,0,0,8,8
,,,,,,,,
2_557,PERSON1,"Ross, can I talk to you for a minute?",FRIENDS,False,-1,-1,4,4
2_557,ROSS,"Yes, please!  So, what's going on?",FRIENDS,False,1,1,7,7
2_557,PERSON1,"Uh, well... Joey and I broke up.",FRIENDS,False,-1,-1,4,4
2_557,ROSS,"Oh my God, wh-what happened?",FRIENDS,False,-1,-1,4,4
,,,,,,,,
2_558,MONICA,Oh wait! Stop! Stop! Stop!,FRIENDS,True,1,1,2,2
2_558,CHANDLER,Oh I'm sorry! Do you need a break?,FRIENDS,True,-1,-1,1,1
2_558,MONICA,My boots in tan! Hey! Can you get a little closer so I can see the price?,FRIENDS,True,1,1,2,2
2_558,CHANDLER,I can see it from right here. It'll cost you one husband.,FRIENDS,True,-1,-1,1,1
,,,,,,,,
2_559,MONICA,"Well, you-you coulda just turned the cushion over.",FRIENDS,False,0,0,8,8
2_559,PHOEBE,"Yeah, I would've except I had a big spaghetti stain on the other side.",FRIENDS,False,-1,-1,6,6
2_559,MONICA,What?!?!,FRIENDS,False,-1,-1,5,5
,,,,,,,,
2_56,PERSON,"I knew it, wow!!",FRIENDS,False,1,1,7,7
2_56,PHOEBE,"Wait-wait-wait, wait! Puppies. Cute or ugly?",FRIENDS,False,1,1,7,7
2_56,PERSON,"Ohh, so cute.",FRIENDS,False,1,1,7,7
2_56,PHOEBE,"Uh-huh, well! But umm, still I'm-I'm mad at you.",FRIENDS,False,-1,1,1,7
,,,,,,,,
2_560,PHOEBE,"And she was like ""Oh, don't worry! I asked him. He's totally ok with seeing you!"".",FRIENDS,True,-1,-1,6,6
2_560,PHOEBE,So now I have to go so he'll think that I'm totally ok with seeing him!,FRIENDS,True,-1,-1,6,6
,,,,,,,,
2_562,JOEY,"Hey. What, what are you doing here?",FRIENDS,False,1,1,8,8
2_562,PHOEBE,"Well, I-I thought a lot about what you said, and um, I realilized duh, all right maybe I was a little judgmental. Yeah, oh, but oh...",FRIENDS,False,-1,-1,4,4
2_562,JOEY,"Look now, Phoebe remember, hey, their just fulfilling their Christmas....",FRIENDS,False,1,1,8,8
,,,,,,,,
2_564,CHANDLER,"Yes. Yes, thanks for letting me use your phone... and for saving my life.",FRIENDS,False,1,1,7,7
2_564,PERSON,"Well, goodbye Chandler. I had a great blackout.  See ya.",FRIENDS,False,1,1,7,7
2_564,CHANDLER,"Hi, um, I'm account number 7143457.",FRIENDS,False,1,1,7,7
2_564,CHANDLER,"And, uh, I don't know if you got any of that, but I would really like a copy of the tape.",FRIENDS,False,1,1,7,7
,,,,,,,,
2_567,ROSS,"So uh, does it do anything uh special?",FRIENDS,True,1,1,7,7
2_567,CHANDLER,"Well yes Ross, pressing my third nipple opens the delivery entrance to the magical land of Narnia.",FRIENDS,True,-1,1,6,7
,,,,,,,,
2_569,PHOEBE,"Yeah! Now, why do you want to kill yourself?",FRIENDS,False,-1,-1,4,4
2_569,PERSON,"It's just that I uh, have been working for ten years now at this meaningless, dead-end job and nobody here even knows I exist!",FRIENDS,False,-1,-1,4,4
2_569,PHOEBE,Chandler?,FRIENDS,False,0,0,8,8
,,,,,,,,
2_570,CHANDLER,Hey Ross I was wondering.,FRIENDS,False,0,0,8,8
2_570,CHANDLER,"Oh my god, where are all the men?",FRIENDS,False,-1,-1,9,9
,,,,,,,,
2_572,PHOEBE,"I know, they're gonna be",FRIENDS,False,1,1,7,7
2_572,RACHEL,"Ohh ..   I mean two best friends falling in love, how often does that happen?",FRIENDS,False,1,1,7,7
2_572,PHOEBE,Not,FRIENDS,False,1,1,7,7
2_572,RACHEL,No! I'm so happy for them!,FRIENDS,False,1,1,7,7
,,,,,,,,
2_573,ROSS,"Look I drew a sketch of how we are gonna do it ok? Rach, that's you, that's the couch",FRIENDS,True,1,1,8,8
2_573,RACHEL,What's that?,FRIENDS,True,1,1,5,5
